"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL162258.1",286.83754271564,4.5028496338372,0.499798758252401,9.00932537243967,2.07327914700124e-19,3.62450660478757e-15
"SHISAL1",372.226594451136,11.6273402023008,1.30177621717606,8.93190400076897,4.18738782111939e-19,3.66019569444046e-15
"GOLGA1",448.70064970381,-2.81070657930699,0.3668070079215,-7.66263053487928,1.82162827658844e-14,1.06152351771064e-10
"MYPOP",62.7932456019875,-9.76626742809867,1.44145247581194,-6.77529616271083,1.24151670278491e-11,5.42604874952147e-08
"RPA1",1064.56414748053,-2.01798593245025,0.322652490098349,-6.2543634231217,3.9914057889426e-10,1.35494661396084e-06
"AREL1",865.542590460813,-2.19063993056209,0.351600949553131,-6.23047216836669,4.6503144284207e-10,1.35494661396084e-06
"AL672207.1",47.6103773308625,-4.07204670764519,0.658966599531844,-6.17944325332746,6.43280507985773e-10,1.60654712008675e-06
"AIDA",2919.23923977608,-2.06468514583508,0.34153342494432,-6.04533845017274,1.49096680207003e-09,3.25813520422354e-06
"HNRNPA1L2",42.8429831447584,-9.21263039162233,1.57994314375816,-5.83098855678346,5.50999636707208e-09,1.07028618321282e-05
"PER3",115.146093379617,-2.84970204065756,0.507392684470328,-5.61636406648706,1.95017537602523e-08,3.40929659236731e-05
"RF01883",13.8944639864185,-21.5109534447571,3.91099567675872,-5.50012202073935,3.79528510675466e-08,6.03174311238955e-05
"PDXDC2P",59.8133534276025,-3.62044685240665,0.663149830003671,-5.45947037698345,4.77557004689668e-08,6.95720962998731e-05
"AC008870.1",20.0233181591218,7.40790584407818,1.3625446271525,5.43681703810282,5.42407842006633e-08,7.29413376458458e-05
"PATL1",2418.06043863519,-2.10093336134152,0.389118407054559,-5.39921351252589,6.6933676588008e-08,8.35810381508254e-05
"ARFGEF1",2092.29898411368,-1.83681155092949,0.348147135583673,-5.27596341658835,1.32060433548205e-07,0.000153912033285981
"CKAP5",1044.50497971082,-2.2382234289254,0.433805001887021,-5.15951503368861,2.47590343079096e-07,0.000270523398606797
"HTT",1383.00826954391,-1.48896057751146,0.291255257910066,-5.11221870532281,3.18396894789457e-07,0.000327424383218194
"PGBD1",188.280684809286,2.02560986046607,0.40043413878142,5.05853438627959,4.22491071388774e-07,0.000410332717223253
"FAM110A",282.296411889128,1.85358021207165,0.368773708757526,5.02633503434053,4.99942154941157e-07,0.000459999408035858
"ZNF41",106.986996469752,2.862053484541,0.584219284660057,4.89893702534376,9.63565186107762e-07,0.000842252329176795
"CDAN1",155.724213088039,-2.56736358855327,0.533303902869468,-4.81407237925588,1.47885205122852e-06,0.00123110912188462
"CRYZL2P-SEC16B",83.2972630676578,-2.87811355510461,0.604088336181556,-4.76439186576118,1.8942406583213e-06,0.00150523250858059
"TARBP1",322.53012235956,-1.86424902369175,0.404266804997081,-4.61143235271372,3.99903800283183e-06,0.00303961662458722
"RNF6",1584.73987078795,-1.8821937764671,0.411906165346455,-4.56947221191502,4.88953988093447e-06,0.00356162234160402
"ZNF385D",61.59076838812,2.46000161931574,0.555323093629298,4.42985650612596,9.42958100468361e-06,0.00659391740495516
"AC012651.1",59.2708460980184,3.18139794782821,0.721260908137062,4.41088365102915,1.02949627371097e-05,0.00692217456039045
"CYP1B1",8241.6067401109,-2.49079048116887,0.566303011449404,-4.39833522126944,1.0908440074413e-05,0.00704520011235463
"NTN1",675.38641298495,-2.22831449250518,0.507475067911877,-4.39098318992121,1.12839265041717e-05,0.00704520011235463
"MORC2-AS1",38.3918577594406,5.79810739534536,1.32795866404837,4.36618062919928,1.26437933467241e-05,0.0076220274237045
"AC024937.2",10.9368290163702,6.53646087072076,1.5024275833475,4.35059961835707,1.35765757127319e-05,0.00791152322033263
"AC138932.1",59.0625583066798,5.53877324854449,1.27612759331698,4.34029737900095,1.4229002053732e-05,0.00802423915817234
"AXL",4293.67033589595,-2.53574491780527,0.58714296813951,-4.31878614818521,1.56889711194807e-05,0.00857108103471127
"FAM221A",45.8522946611108,2.37279280551539,0.55577591394379,4.2693336396643,1.96057815777877e-05,0.0103863113194814
"KLHL5",1342.4381366836,-2.00040406138934,0.470120070814199,-4.25509180649285,2.08963257673131e-05,0.010744399031299
"ZC3H12A",6897.20227352029,1.97523868091011,0.473798918725133,4.16893876884512,3.06021180700052e-05,0.0152469964455699
"AC099494.2",77.7528384428827,-3.99905092881917,0.960597789529394,-4.16308570809677,3.13975444480333e-05,0.0152469964455699
"BMS1",1693.80613065659,-2.08195392982778,0.502857425046661,-4.14024696887908,3.4693210397365e-05,0.0163711969473998
"ARMT1",1807.3977313553,-1.20926612720435,0.292487612495454,-4.134418264374,3.55854870152838e-05,0.0163711969473998
"LRRC41",2514.82623169384,-1.15187207692944,0.280949669338049,-4.09992323409166,4.13287204863711e-05,0.0185258638857113
"MLLT1",1093.3655346772,-1.84323222364863,0.453453045825393,-4.06488001485029,4.80571782937922e-05,0.0210033897733019
"RCCD1",126.080645823554,1.85449705449595,0.461443434251277,4.01890441350629,5.84693835218818e-05,0.0249307747007204
"BEST1",48.3622988215123,-2.9301109589683,0.74437509478174,-3.93633663929533,8.2734894154466e-05,0.0344374147525804
"ANO5",15.1725217139719,5.27323254042057,1.35234454476355,3.89932621892787,9.64607406407996e-05,0.0392168992530804
"SLC16A4",1811.4706273159,-1.31473425855159,0.338512472076622,-3.8838576625738,0.000102812109534266,0.0408491204290462
"CS",2148.94600567837,-1.14532598446618,0.296455879010451,-3.86339440556616,0.000111822242911827,0.0434416989018793
"AP002990.1",11825.7173955729,3.10021866923539,0.813174536727121,3.81248862232358,0.000137574564109175,0.0522843158642737
"SLC23A2",391.87605664881,-2.83892279957526,0.745730651783111,-3.80690104770017,0.000140719015553071,0.0523414857425274
"FAM208B",560.448154949923,2.39232635823859,0.62947186849679,3.8005294246931,0.000144387270786877,0.0525870472478371
"AC048338.1",40.8779538039712,-4.47617647438,1.18419648593842,-3.77992717216421,0.000156874237414779,0.0552270693196046
"MARCH7",684.5539658709,-1.52694130945309,0.404143169707675,-3.7782187697433,0.000157954093695243,0.0552270693196046
"C10orf90",36.6550782255683,4.50276034131017,1.24184112976158,3.62587470602996,0.000287984971851804,0.0987167309394753
"ZBTB1",645.55144385714,-1.6522934176842,0.456516408407171,-3.61935165364419,0.000295342063648248,0.0992917299365128
"YJEFN3",24.7282284403676,2.77848165377192,0.769660570627127,3.61000908687318,0.00030618627852873,0.100995255117722
"FASN",812.534558434706,1.90068997547598,0.527312303329325,3.60448630436929,0.000312770940716877,0.10125669602986
"SPRED3",422.108792624161,-1.39970117107643,0.390582746981552,-3.58362263027082,0.000338861560790718,0.105898557738192
"ZBED6",2391.30210542803,-2.08136883657313,0.580845501788875,-3.58334329897189,0.000339224301186291,0.105898557738192
"TMEM41A",735.093637641748,-1.26076126072595,0.352793766401259,-3.57364948249112,0.000352040118638632,0.106387998322006
"TRRAP",1309.8262022862,-1.56916680729995,0.439177891961496,-3.5729640221451,0.000352963270945908,0.106387998322006
"YEATS2",777.524822888949,-1.44273136458063,0.405348621281896,-3.55923589925644,0.000371935342170763,0.110206333081852
"AC002310.5",6.52530346428269,5.79316402010582,1.62801250982799,3.55842721424658,0.000373082144429227,NA
"MPHOSPH6",307.738010301897,-2.41745367147824,0.683289977390315,-3.53796155581149,0.000403228762921195,0.117487420556472
"DNAJC9",20.9781111871172,-4.06727817916319,1.15388172847329,-3.52486574559477,0.00042369746630644,0.121427526327364
"AC005020.2",6.96616614077107,5.89051590698831,1.69085274420955,3.48375452987305,0.00049443273564977,NA
"CAMTA2",671.677484035683,-1.06181988509815,0.305707840139425,-3.47331584500378,0.000514070007831745,0.144951159305074
"FARSB",1281.49657913486,-1.38643695188679,0.401647250841933,-3.45187711102351,0.000556701211766636,0.152914151050963
"CRLS1",975.447955006438,-1.65966982258732,0.481451704736079,-3.4472197444957,0.000566387698219515,0.152914151050963
"NHS",17.2148821056891,-6.23522400272971,1.80930970617351,-3.44618943979277,0.000568551642736106,0.152914151050963
